district,population,placename,category,total19,total20,total21,total22,total23,total24,last12mos,total_prior3years,avg_prior3years,inc_19to22,inc_19tolast12,inc_22tolast12,inc_prior3yearavgtolast12,rate19,rate20,rate21,rate22,rate_last12,rate_prior3years
16,41000,"Powelton, Mantua and Parkside",Sexual Assault,42,25,27,16,24,18,18,68,22.7,-61.9,-57.1,12.5,-21,102.4,61,65.9,39,43.9,55.4
17,50000,South Philadelphia and Grays Ferry,Sexual Assault,20,10,19,14,9,3,5,43,14.3,-30,-75,-64.3,-65,40,20,38,28,10,28.6
18,80000,University City and Cobbs Creek,Sexual Assault,46,45,46,31,30,24,26,122,40.7,-32.6,-43.5,-16.1,-36,57.5,56.2,57.5,38.8,32.5,50.9
35,100000,Olney and Logan,Sexual Assault,75,63,49,41,38,45,49,153,51,-45.3,-34.7,19.5,-4,75,63,49,41,49,51
39,61000,"East Falls, Tioga and Nicetown",Sexual Assault,63,42,58,38,47,41,51,138,46,-39.7,-19,34.2,11,103.3,68.9,95.1,62.3,83.6,75.4
01,37000,Girard Estates and Navy Yard,Sexual Assault,18,9,4,6,6,13,14,19,6.3,-66.7,-22.2,133.3,122,48.6,24.3,10.8,16.2,37.8,17
02,115000,Oxford Circle and Lawncrest,Sexual Assault,57,53,31,42,25,28,32,126,42,-26.3,-43.9,-23.8,-24,49.6,46.1,27,36.5,27.8,36.5
03,93000,"Whitman, Stadium District and Lower Moyamensing",Sexual Assault,30,18,32,29,12,16,17,79,26.3,-3.3,-43.3,-41.4,-35,32.3,19.4,34.4,31.2,18.3,28.3
19,86000,"Overbrook, Wynnefield and Overbrook Park",Sexual Assault,71,46,44,36,34,58,62,126,42,-49.3,-12.7,72.2,48,82.6,53.5,51.2,41.9,72.1,48.8
22,77000,Strawberry Mansion and Stanton,Sexual Assault,85,70,78,58,43,62,67,206,68.7,-31.8,-21.2,15.5,-2,110.4,90.9,101.3,75.3,87,89.2
24,67000,Richmond and Port Richmond,Sexual Assault,70,59,39,42,37,35,37,140,46.7,-40,-47.1,-11.9,-21,104.5,88.1,58.2,62.7,55.2,69.7
25,68000,Kensington and Harrowgate,Sexual Assault,68,80,74,47,49,43,48,201,67,-30.9,-29.4,2.1,-28,100,117.6,108.8,69.1,70.6,98.5
26,57000,"Fishtown, Olde Kensington, East Kensington and West Kensington",Sexual Assault,41,26,24,24,17,23,25,74,24.7,-41.5,-39,4.2,1,71.9,45.6,42.1,42.1,43.9,43.3
15,139000,"Bridesburg, Frankford, Northwood and Wissimoming",Sexual Assault,92,90,53,47,44,47,50,190,63.3,-48.9,-45.7,6.4,-21,66.2,64.7,38.1,33.8,36,45.5
77,0,Philadelphia airport,Sexual Assault,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
05,43000,"Andorra, Roxborough and Manayunk",Sexual Assault,10,10,10,13,7,5,5,33,11,30,-50,-61.5,-55,23.3,23.3,23.3,30.2,11.6,25.6
06,46000,"Center City East, Chinatown, Poplar and Society Hill",Sexual Assault,31,21,27,19,22,4,6,67,22.3,-38.7,-80.6,-68.4,-73,67.4,45.7,58.7,41.3,13,48.5
07,95000,Somerton and Bustleton,Sexual Assault,15,22,10,3,12,10,11,35,11.7,-80,-26.7,266.7,-6,15.8,23.2,10.5,3.2,11.6,12.3
08,97000,"Parkwood Manor, Byberry, Morrell Park and Millbrook",Sexual Assault,44,27,23,8,9,14,16,58,19.3,-81.8,-63.6,100,-17,45.4,27.8,23.7,8.2,16.5,19.9
09,66000,"Center City West, Logan Circle and North Philadelphia",Sexual Assault,23,20,21,17,14,42,42,58,19.3,-26.1,82.6,147.1,118,34.8,30.3,31.8,25.8,63.6,29.2
12,72000,"Kingsessing, Eastwick and Elmwood",Sexual Assault,59,59,57,30,40,17,21,146,48.7,-49.2,-64.4,-30,-57,81.9,81.9,79.2,41.7,29.2,67.6
14,112000,"Germantown, Mt. Airy and Chestnut Hill",Sexual Assault,52,59,31,28,31,27,30,118,39.3,-46.2,-42.3,7.1,-24,46.4,52.7,27.7,25,26.8,35.1
04,NA,NA,Sexual Assault,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
